age,bmi,country,dob,first_name,height,id,last_name,name,photo,position,profile_url,shirt_num,state,surname,team_id,team_name,total_influence,weight,x_loc,y_loc,competition,kickoff,match_id
34,23.5,Wales,23/08/1983,James,188,925,Collins,James Collins,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p925c49j19.jpg,Defender,http://www.squawka.com/players/james-collins/stats,19,playing,James Collins,49,West Ham,25,83,25,75,data/epl,2017-09-11 20:00:00 +0100,32934
28,23.2,Ghana,17/12/1989,André,176,1174,Ayew,André Ayew,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p1174c49j20.jpg,Forward,http://www.squawka.com/players/andre-ayew/stats,20,bench,André Ayew,49,West Ham,52,72,0,0,data/epl,2017-09-11 20:00:00 +0100,32934
29,23.6,Italy,23/05/1988,Angelo,191,181,Ogbonna,Angelo Ogbonna,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p181c49j21.jpg,Defender,http://www.squawka.com/players/angelo-ogbonna/stats,21,bench,Ogbonna,49,West Ham,0,86,0,0,data/epl,2017-09-11 20:00:00 +0100,32934
24,22.2,England,16/09/1993,Sam,180,10639,Byram,Sam Byram,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p10639c49j22.jpg,Defender,http://www.squawka.com/players/sam-byram-byram/stats,22,bench,Sam Byram,49,West Ham,0,72,0,0,data/epl,2017-09-11 20:00:00 +0100,32934
30,23.7,England,19/04/1987,Joe,196,82,Hart,Joe Hart,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p82c49j25.jpg,Goalkeeper,http://www.squawka.com/players/joe-hart/stats,25,playing,Joe Hart,49,West Ham,16,91,5,50,data/epl,2017-09-11 20:00:00 +0100,32934
24,21.8,Congo DR,07/11/1993,Arthur,179,1510,Masuaku,Arthur Masuaku,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p1510c49j26.jpg,Defender,http://www.squawka.com/players/arthur-masuaku/stats,26,bench,Masuaku,49,West Ham,0,70,0,0,data/epl,2017-09-11 20:00:00 +0100,32934
27,25.3,England,28/03/1990,Michail,180,10955,Antonio,Michail Antonio,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p10955c49j30.jpg,Midfielder,http://www.squawka.com/players/michail-antonio/stats,30,playing,Michail Antonio,49,West Ham,-24,82,75,25,data/epl,2017-09-11 20:00:00 +0100,32934
19,0,Republic of Ireland,14/01/1999,Declan,Unknown,22409,Rice,Declan Rice,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/no_icon.png,Midfielder,,41,bench,Rice,49,West Ham,-1,Unknown,0,0,data/epl,2017-09-11 20:00:00 +0100,32934
29,23.4,Denmark,01/02/1989,Jonas,195,15004,Lössl,Jonas Lössl,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p15004c92j1.jpg,Goalkeeper,http://www.squawka.com/players/jonas-lossl/stats,1,playing,Lössl,309,Hudd Town,-16,89,5,50,data/epl,2017-09-11 20:00:00 +0100,32934
25,21.7,England,14/04/1992,Tommy,186,10504,Smith,Tommy Smith,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p10504c309j2.jpg,Defender,http://www.squawka.com/players/tommy-smith-smith/stats,2,playing,Tommy Smith,309,Hudd Town,-35,75,21,15,data/epl,2017-09-11 20:00:00 +0100,32934
26,21,England,25/03/1991,Scott,189,10803,Malone,Scott Malone,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p10803c168j0.png,Defender,http://www.squawka.com/players/scott-malone-malone/stats,3,bench,Scott Malone,309,Hudd Town,-9,75,0,0,data/epl,2017-09-11 20:00:00 +0100,32934
21,22.3,Denmark,11/06/1996,Philip,193,12372,Billing,Philip Billing,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p12372c309j29.png,Midfielder,http://www.squawka.com/players/philip-billing/stats,8,playing,Billing,309,Hudd Town,-5,83,40,66,data/epl,2017-09-11 20:00:00 +0100,32934
25,23.4,Congo DR,22/04/1992,Elias,178,15280,Kachunga,Elias Kachunga,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p15280c309j9.jpg,Forward,http://www.squawka.com/players/elias-kachunga/stats,9,playing,Kachunga,309,Hudd Town,-19,74,62,22,data/epl,2017-09-11 20:00:00 +0100,32934
27,22.5,Australia,15/09/1990,Aaron,174,11309,Mooy,Aaron Mooy,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p11309c309j10.jpg,Midfielder,http://www.squawka.com/players/aaron-mooy/stats,10,playing,Mooy,309,Hudd Town,-4,68,40,31,data/epl,2017-09-11 20:00:00 +0100,32934
21,23.9,Morocco,28/11/1996,Abdelhamid,183,23637,Sabiri,Abdelhamid Sabiri,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/no_icon.png,Midfielder,,11,bench,Sabiri,309,Hudd Town,1,80,0,0,data/epl,2017-09-11 20:00:00 +0100,32934
22,20.9,England,26/09/1995,Joel,198,20870,Coleman,Joel Coleman,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/no_icon.png,Goalkeeper,http://www.squawka.com/players/joel-coleman/stats,13,bench,Joel Coleman,309,Hudd Town,0,82,0,0,data/epl,2017-09-11 20:00:00 +0100,32934
28,22.2,Germany,16/04/1989,Chris,175,2074,Löwe,Chris Löwe,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p2074c309j15.jpg,Defender,http://www.squawka.com/players/chris-lowe/stats,15,playing,Chris Löwe,309,Hudd Town,-2,68,21,85,data/epl,2017-09-11 20:00:00 +0100,32934
26,22,Netherlands,04/06/1991,Rajiv,181,8088,van La Parra,Rajiv van La Parra,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p8088c309j17.jpg,Midfielder,http://www.squawka.com/players/rajiv-van-la-parra/stats,17,playing,van La Parra,309,Hudd Town,-3,72,62,78,data/epl,2017-09-11 20:00:00 +0100,32934
29,23.8,USA,08/03/1989,Danny,182,2028,Williams,Danny Williams,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p2028c309j19.jpg,Midfielder,http://www.squawka.com/players/danny-williams/stats,19,bench,Danny Williams,309,Hudd Town,0,79,0,0,data/epl,2017-09-11 20:00:00 +0100,32934
29,24.9,Belgium,07/12/1988,Laurent,191,19189,Depoitre,Laurent Depoitre,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/no_icon.png,Forward,http://www.squawka.com/players/laurent-depoitre/stats,20,bench,Depoitre,309,Hudd Town,-3,91,0,0,data/epl,2017-09-11 20:00:00 +0100,32934
26,20.8,England,30/01/1992,Tom,178,10072,Ince,Tom Ince,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p10072c309j22.jpg,Midfielder,http://www.squawka.com/players/tom-ince/stats,22,playing,Tom Ince,309,Hudd Town,50,66,62,50,data/epl,2017-09-11 20:00:00 +0100,32934
23,23,Benin,29/09/1994,Steve,190,8206,Mounie,Steve Mounie,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p8206c60j27.png,Forward,http://www.squawka.com/players/steve-mounie/stats,24,playing,Mounie,309,Hudd Town,7,83,85,50,data/epl,2017-09-11 20:00:00 +0100,32934
27,21.7,Denmark,23/04/1990,Mathias,191,7969,Jorgensen,Zanka,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p7969c284j25.jpg,Defender,http://www.squawka.com/players/zanka/stats,25,playing,Zanka,309,Hudd Town,10,79,17,37,data/epl,2017-09-11 20:00:00 +0100,32934
27,23,Germany,29/04/1990,Christopher,189,20871,Schindler,Christopher Schindler,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p20871c309j26.jpg,Defender,http://www.squawka.com/players/christopher-schindler/stats,26,playing,Schindler,309,Hudd Town,18,82,17,61,data/epl,2017-09-11 20:00:00 +0100,32934
23,22,Switzerland,31/07/1994,Florent,182,16287,Hadergjonaj,Florent Hadergjonaj,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p16287c470j3.png,Defender,http://www.squawka.com/players/florent-hadergjonaj/stats,33,bench,Hadergjonaj,309,Hudd Town,0,73,0,0,data/epl,2017-09-11 20:00:00 +0100,32934
27,24.1,Germany,01/09/1990,Michael,192,2337,Hefele,Michael Hefele,http://www.squawka.com/wp-content/themes/squawka_web/uploaded_icons/players/thumb/p2337c309j44.jpg,Defender,http://www.squawka.com/players/michael-hefele/stats,44,bench,Hefele,309,Hudd Town,0,89,0,0,data/epl,2017-09-11 20:00:00 +0100,32934
